nude,0,1745613,"bareness,butt_naked,clothes_off,completely_naked,completely_nude,full_nudity,nacked,nake,naked,no_clothes,nude_student,nude_teacher,nudes,nudity,sfw_nudity,unclothed,undressed,wholesome_nudity"
blonde_hair,0,1733249,"/blondeh,blond,blond_hair,blonde,blonde-hair,blonde_short_hair,blondehair,dirty_blonde,dirty_blonde_hair,gold_hair,golden_hair,long_blond_hair,long_blonde_hair,long_yellow_hair,short_blond_hair,short_blonde_hair,short_yellow_hair,yellow-hair,yellow_hair"
fur,0,1731846,",furred,monochrome_fur,uncolored_fur"
black_hair,0,1703915,"/blackh,black)hair,black-hair,black_hairs,blackhair,blakc_hair,dark_hair,long_black_hair,short_black_hair"
brown_hair,0,1690838,"/brownh,bronw_hair,brown)hair,brown-hair,brownhair,brunette,brunette_hair,chocolate_hair,dark_brown_hair,hair_brown,light_brown_hair,long_brown_hair,short_brown_hair"
skirt,0,1622183,
duo,0,1603576,",pair,two_characters"
navel,0,1594461,"belly-button,belly_button,bellybutton,exposed_navel,innie_navel,naval,navels,umbilici,umbilicus,umbilicuses"
large_breasts,0,1562185,",/lb,big_breasts,large_boobs,large_breast,large_tits"
long_sleeves,0,1545191,",/lsleeves,long_sleeve"
gloves,0,1530071,"gloces,glove"
red_eyes,0,1518563,"dark_red_eyes,red_eye,red_iris,red_irises,redeyes,scarlet_eyes"
multiple_girls,0,1517740,",/ngirls"
bodily_fluids,0,1446170,",bio_fluid,bio_fluids,biofluid,biofluids,bodily_fluid,bodily_waste,body_fluid,body_fluids,body_waste,excreta,excretion,excretory_product,excretory_waste,human_waste,human_waste_matter,secretion,secretions,waste_matter"
hair_ornament,0,1403050,",/hornament,hair_accessories,hair_accessory,hair_decs,hair_ornaments"
hat,0,1399889,",cap,fancy_hat,hats"
1boy,0,1385329,",1boys,sole_male"
dress,0,1354887,
commentary,5,1343857,",commentaries"
standing,0,1335423,",stadning,stand,standign,standind,standing_up,standng,stanidng,stanindg,staning,stnaidng,syanding"
holding,0,1331196,",hold,holding_object"
canid,5,1318787,",anthro_canid,caind,candid_(species),canidae,canide,canids,canind,feral_canid"
digital_media_(artwork),7,1294194,",artwork_(digital),digital,digital-art,digital_art,digital_artwork,digital_artworks,digital_media,digital_media(art),digital_media(artwork),digital_media_(art),digital_media_artwork,digitalart,digitalartist,digitalartwork,digitaldrawing,digitalillustration,furrydigitalartist"
jewelry,0,1291713,"jewelery,jewellery,jewerly,jewlery,jewlry"
sex,0,1290580,"coital,coitus,consensual_sex,fuck,fucked,fucking,gay_sex,getting_fucked,indoors_sex,intense_sex,inter_course,intercourse,lovemaking,mating,sexo,sexual_inter_course,sexual_intercourse,soft_sex,straight_sex,unprotected,unprotected_sex,yiff,yiffing"
canine,5,1276381,",anthro_canine,articwolfgirl,canines,caninie,cannine,cnaine,dog_boy,dog_girl,dogboy,doggirl,feral_canine,fox_boy,fox_girl,foxboy,foxgirl,k9,lap-dog,mongrel,vixengirl,wolf_boy,wolf_girl,wolfboy,wolfgirl"
pussy,0,1260272,"alien_pussy,cunt,exposed_pussy,labia,labia_majora,labia_minora,manko,monotone_pussy,pussy_exposed,pussy_lips,simple_pussy,twat,vag,vagina,vertical_pussy,vulva"
sitting,0,1247045,"sat,seated,sit,sit_down,siting,sitt,sitting_down,sitting_upright,sittng"
tongue,0,1228861,"monotone_tongue,tonge,tongues,tonque,tougue,tounge,toungue"
teeth,0,1200525,"bared_teeth,teeth_showing,teeth_visible,teethy,teth,tooth,white_teeth,white_tooth,whtie_teeth"
bad_id,5,1178218,",bad_skeb_id"
green_eyes,0,1165397,"emerald_eyes,green-eyes,green_eye,green_eys,green_iris,green_irises,greeneyes,light_green_eyes"
bow,0,1162981,",bows"
thighhighs,0,1157435,",/t,naked_thighhighs,nude_thighhighs,stocking,stockings,thigh_highs,thighhgihs,thighhigh,thighhighs_only,thighhigs,thighighs"
original,3,1157324,",/o,original_character"
animal_ears,0,1155664,",kemonomimi,pokemon_ears"
clothed,0,1151995,",cloted,clothed_non-humanoid_creature,clothed_student,clothed_teacher,cltohed,dressed,half-dressed,half_dressed"
underwear,0,1151685,"shitagi,under_wear,undergarments,underpants,underwears,undies"
text,0,1147559,",colored_text,coloured_text,moonspeak,words"
hair_between_eyes,0,1147345,",bangs_between_eyes"
closed_mouth,0,1146894,
cleavage,0,1131924,"absolute_cleavage,clevage,overboob,top_breast"
ribbon,0,1076726,",ribbons"
english_text,0,1070211,"english,english-text,english_dialog,english_dialogue"
